1 | You awaken on a table in a board room. Do you: 1) Search for an exit 2) Go back to sleep| 2 | 3
2 | You find a door, but it's locked. Do you: 1) Search the room for tools 2) Try to break the lock | 4 | 5
3 | You wake up to the tickle monster. Do you: 1) Giggle 2) Tickle them back | 7 | 8
4 | Searching the room you find a red lever Do you: 1) Pull it  2) Leave it be and keep looking | -1 | 6
5 | As you attempt to break the lock, a hidden mechanism activates. Do you: 1) Study the mechanism closely 2) Force the door open | 6 | 9
6 | You hear giggling behind you. Do you: 1) Turn around and confront whatever is there 2) Look for an escape| 10 | 2
7 | The tickle monster shares a giggle and accepts you as friend. Do you: 1) Accept their friendship 2) Politely refuse and search for another way out | 9 | 11
8 | The stairway leads to a shadowy figure blocking your path. Do you: 1) Speak to it 2) Flee back down the hall | 3 | 2
9 | The monster offer you a way out through a tickle fight. Do you: 1) Participate in the fight 2) Decline and try to pick the door lock | 12 | 5
10 | The noise was caused by a tickle monster. Do you: 1) Deny any tickling 2) Follow them where they slither | -1 | 2
11 | The monster become hostile. Do you: 1) Stand your ground and fight 2) Apologize and giggle | -1 | 7
12 | The fight succeeds, and the monster set you free. Do you: 1) Stay to uncover more secrets 2) Leave the board room forever | -1 | 3

